id,pm10,pm25,pm1,co2,co,humidity,temperature,date,long,lat,datetime,seconde
6958,9,20,15,9419,3.59,0,0,2018-01-04 13:29:13,-17.4528,14.6946,2018-01-04 13:29:13,63.931543739701006
6959,9,20,15,9815,3.57,0,0,2018-01-04 13:29:14,-17.4529,14.6947,2018-01-04 13:29:14,63.931542739701
6960,9,19,14,8245,3.57,0,0,2018-01-04 13:29:16,-17.4529,14.6947,2018-01-04 13:29:16,63.931540739701006
6961,10,20,15,6328,3.6,0,0,2018-01-04 13:29:18,-17.4529,14.6947,2018-01-04 13:29:18,63.931538739701004
6962,10,20,15,7472,3.58,0,0,2018-01-04 13:29:19,-17.453,14.6947,2018-01-04 13:29:19,63.931537739701
6963,10,20,15,9815,3.58,0,0,2018-01-04 13:29:22,-17.453,14.6947,2018-01-04 13:29:22,63.931534739701
6964,10,21,15,12644,3.58,0,0,2018-01-04 13:29:23,-17.453,14.6947,2018-01-04 13:29:23,63.931533739701
6965,10,19,15,9026,3.57,0,0,2018-01-04 13:29:25,-17.453,14.6947,2018-01-04 13:29:25,63.931531739701
6966,10,19,15,12233,3.58,0,0,2018-01-04 13:29:27,-17.453,14.6947,2018-01-04 13:29:27,63.931529739701006
6967,11,23,17,12644,3.59,0,0,2018-01-04 13:29:29,-17.453,14.6947,2018-01-04 13:29:29,63.931527739701004
6968,11,22,16,12644,3.58,0,0,2018-01-04 13:29:30,-17.453,14.6947,2018-01-04 13:29:30,63.931526739701006
6969,11,21,16,11419,3.58,0,0,2018-01-04 13:29:32,-17.453,14.6947,2018-01-04 13:29:32,63.931524739701004
6970,10,20,14,10613,3.57,0,0,2018-01-04 13:29:34,-17.453,14.6947,2018-01-04 13:29:34,63.931522739701
6971,7,18,12,8245,3.59,0,0,2018-01-04 13:29:36,-17.4531,14.6947,2018-01-04 13:29:36,63.931520739701
6972,8,19,12,9026,3.57,0,0,2018-01-04 13:29:38,-17.4532,14.6947,2018-01-04 13:29:38,63.931518739701005
6973,8,19,12,9815,3.58,0,0,2018-01-04 13:29:39,-17.4532,14.6947,2018-01-04 13:29:39,63.931517739701
6974,7,18,12,8635,3.58,0,0,2018-01-04 13:29:41,-17.4532,14.6947,2018-01-04 13:29:41,63.931515739701005
6975,8,19,12,10213,3.58,0,0,2018-01-04 13:29:43,-17.4533,14.6946,2018-01-04 13:29:43,63.931513739701
6976,8,19,12,5576,3.57,0,0,2018-01-04 13:29:44,-17.4533,14.6946,2018-01-04 13:29:44,63.931512739701006
6977,8,20,13,6708,3.57,0,0,2018-01-04 13:29:47,-17.4533,14.6946,2018-01-04 13:29:47,63.931509739701006
6978,8,20,13,7089,3.59,0,0,2018-01-04 13:29:48,-17.4533,14.6946,2018-01-04 13:29:48,63.931508739701
6979,8,21,14,9815,3.59,0,0,2018-01-04 13:29:50,-17.4532,14.6946,2018-01-04 13:29:50,63.931506739701
6980,8,21,14,4831,3.58,0,0,2018-01-04 13:29:52,-17.4532,14.6946,2018-01-04 13:29:52,63.931504739701005
6981,8,19,13,8245,3.58,0,0,2018-01-04 13:29:53,-17.4532,14.6947,2018-01-04 13:29:53,63.931503739701
6982,8,17,13,6708,3.59,0,0,2018-01-04 13:29:55,-17.4531,14.6947,2018-01-04 13:29:55,63.931501739701005
6983,8,17,13,7472,3.79,0,0,2018-01-04 13:29:57,-17.4531,14.6947,2018-01-04 13:29:57,63.931499739701
6984,8,17,13,3003,3.8,0,0,2018-01-04 13:29:59,-17.4531,14.6947,2018-01-04 13:29:59,63.931497739701
6985,7,17,12,6328,3.57,0,0,2018-01-04 13:30:01,-17.4531,14.6947,2018-01-04 13:30:01,63.931495739701006
6986,8,16,12,7089,3.61,0,0,2018-01-04 13:30:03,-17.4531,14.6947,2018-01-04 13:30:03,63.931493739701004
6987,8,16,12,6328,3.57,0,0,2018-01-04 13:30:04,-17.4531,14.6947,2018-01-04 13:30:04,63.931492739701
6988,8,16,12,-6391,3.62,0,0,2018-01-04 13:30:06,-17.4531,14.6947,2018-01-04 13:30:06,63.931490739701005
6989,7,15,11,-4813,3.62,0,0,2018-01-04 13:30:08,-17.4531,14.6947,2018-01-04 13:30:08,63.931488739701
6990,7,15,11,-7927,3.91,0,0,2018-01-04 13:30:09,-17.453,14.6947,2018-01-04 13:30:09,63.931487739701005
6991,7,14,11,-7010,3.6,0,0,2018-01-04 13:30:12,-17.453,14.6947,2018-01-04 13:30:12,63.931484739701006
6992,7,13,11,-9719,3.6,0,0,2018-01-04 13:30:13,-17.453,14.6947,2018-01-04 13:30:13,63.931483739701
6993,7,14,11,-6701,3.61,0,0,2018-01-04 13:30:15,-17.453,14.6947,2018-01-04 13:30:15,63.931481739701006
6994,7,14,11,-11738,3.63,0,0,2018-01-04 13:30:17,-17.453,14.6947,2018-01-04 13:30:17,63.931479739701004
6995,7,14,11,-11738,3.63,0,0,2018-01-04 13:30:18,-17.453,14.6947,2018-01-04 13:30:18,63.931478739701
6996,8,15,11,-17114,3.64,0,0,2018-01-04 13:30:20,-17.453,14.6947,2018-01-04 13:30:20,63.931476739701004
6997,8,15,11,-7623,3.66,0,0,2018-01-04 13:30:22,-17.453,14.6947,2018-01-04 13:30:22,63.931474739701
6998,7,14,11,-2865,3.59,0,0,2018-01-04 13:30:24,-17.453,14.6947,2018-01-04 13:30:24,63.931472739701
6999,7,14,11,-4813,3.6,0,0,2018-01-04 13:30:26,-17.453,14.6947,2018-01-04 13:30:26,63.931470739701005
7000,7,14,10,-8830,3.61,0,0,2018-01-04 13:30:28,-17.453,14.6947,2018-01-04 13:30:28,63.931468739701
7001,7,14,10,-6391,3.61,0,0,2018-01-04 13:30:29,-17.453,14.6946,2018-01-04 13:30:29,63.931467739701006
7002,7,14,10,-6701,3.61,0,0,2018-01-04 13:30:31,-17.453,14.6946,2018-01-04 13:30:31,63.931465739701004
7003,7,14,11,-7318,3.61,0,0,2018-01-04 13:30:33,-17.453,14.6946,2018-01-04 13:30:33,63.931463739701
7004,7,14,11,-12581,3.6,0,0,2018-01-04 13:30:35,-17.453,14.6946,2018-01-04 13:30:35,63.931461739701
7005,7,15,11,-8830,3.61,0,0,2018-01-04 13:30:37,-17.453,14.6946,2018-01-04 13:30:37,63.931459739701005
7006,7,16,12,-10303,3.61,0,0,2018-01-04 13:30:38,-17.453,14.6946,2018-01-04 13:30:38,63.931458739701
7007,7,14,11,-16859,3.89,0,0,2018-01-04 13:30:40,-17.453,14.6946,2018-01-04 13:30:40,63.931456739701005
7008,7,14,11,-19111,3.66,0,0,2018-01-04 13:30:42,-17.453,14.6946,2018-01-04 13:30:42,63.931454739701
7009,7,15,12,-20079,3.64,0,0,2018-01-04 13:30:44,-17.453,14.6946,2018-01-04 13:30:44,63.931452739701
7010,7,15,12,-32391,3.73,0,0,2018-01-04 13:30:46,-17.4531,14.6946,2018-01-04 13:30:46,63.931450739701006
7011,8,18,13,-27529,3.7,0,0,2018-01-04 13:30:47,-17.4531,14.6946,2018-01-04 13:30:47,63.931449739701
7012,8,18,13,28452,3.66,0,0,2018-01-04 13:30:49,-17.4531,14.6946,2018-01-04 13:30:49,63.931447739701
7013,8,19,14,-29478,3.65,0,0,2018-01-04 13:30:51,-17.4531,14.6946,2018-01-04 13:30:51,63.931445739701005
7014,8,20,14,31446,3.69,0,0,2018-01-04 13:30:53,-17.4531,14.6946,2018-01-04 13:30:53,63.931443739701
7015,8,20,14,-26309,3.76,0,0,2018-01-04 13:30:54,-17.4531,14.6946,2018-01-04 13:30:54,63.931442739701005
7016,8,19,15,-28904,3.67,0,0,2018-01-04 13:30:56,-17.4531,14.6946,2018-01-04 13:30:56,63.931440739701
7017,8,19,15,-25685,3.64,0,0,2018-01-04 13:30:58,-17.4531,14.6946,2018-01-04 13:30:58,63.931438739701
7018,8,18,13,-25894,3.64,0,0,2018-01-04 13:31:00,-17.4531,14.6946,2018-01-04 13:31:00,63.931436739701006
7019,8,18,13,-25263,3.63,0,0,2018-01-04 13:31:02,-17.4531,14.6946,2018-01-04 13:31:02,63.931434739701004
7020,7,18,13,-25685,3.63,0,0,2018-01-04 13:31:03,-17.4531,14.6946,2018-01-04 13:31:03,63.931433739701
7021,7,18,13,-30229,3.67,0,0,2018-01-04 13:31:05,-17.4531,14.6946,2018-01-04 13:31:05,63.931431739701004
7022,7,18,13,29676,3.82,0,0,2018-01-04 13:31:07,-17.4531,14.6946,2018-01-04 13:31:07,63.931429739701
7023,6,17,12,26431,3.7,0,0,2018-01-04 13:31:09,-17.4531,14.6946,2018-01-04 13:31:09,63.931427739701
7024,6,17,12,28154,3.68,0,0,2018-01-04 13:31:11,-17.4531,14.6946,2018-01-04 13:31:11,63.931425739701005
