Cycle,estimate,lost
143,0.0,79.6975,79.6975
144,0.0,80.2575,80.2575
145,0.0,80.8175,80.8175
146,0.0,81.3775,81.3775
147,0.0,81.9375,81.9375
148,0.0,82.4975,82.4975
149,0.0,83.0575,83.0575
150,0.0,83.61749999999999,83.61749999999999
151,0.0,84.1775,84.1775
152,0.0,84.7375,84.7375
153,0.0,85.2975,85.2975
154,0.0,85.8575,85.8575
155,0.0,86.4175,86.4175
156,0.0,86.97749999999999,86.97749999999999
157,0.0,87.5375,87.5375
158,0.0,88.0975,88.0975
159,0.0,88.6575,88.6575
160,0.0,89.2175,89.2175
161,0.0,89.7775,89.7775
162,0.0,90.33749999999999,90.33749999999999
163,0.0,90.8975,90.8975
164,0.0,91.4575,91.4575
165,0.0,92.0175,92.0175
166,0.0,92.5775,92.5775
