Cycle,estimate,lost
81,33.97750000000012,21.97750000000012
82,34.03000000000012,22.030000000000122
83,34.082500000000124,22.082500000000124
84,34.135000000000126,23.135000000000126
85,34.18750000000013,23.187500000000128
86,34.24000000000013,23.24000000000013
87,34.29250000000013,24.292500000000132
88,34.345000000000134,24.345000000000134
89,34.397500000000136,24.397500000000136
90,34.45000000000014,24.450000000000138
91,34.50250000000014,24.50250000000014
92,34.555000000000135,23.555000000000135
93,34.607500000000144,23.607500000000144
94,34.66000000000014,24.66000000000014
95,34.71250000000014,24.71250000000014
96,34.76500000000014,24.765000000000143
97,34.817500000000145,24.817500000000145
98,34.87000000000015,24.870000000000147
99,34.92250000000015,24.92250000000015
100,34.97500000000015,24.97500000000015
101,35.02750000000015,25.027500000000153
102,35.080000000000155,25.080000000000155
103,35.13250000000016,25.132500000000157
104,35.18500000000016,25.18500000000016
105,35.23750000000016,26.23750000000016
106,35.29000000000016,26.290000000000163
107,35.342500000000165,26.342500000000165
108,35.39500000000017,26.395000000000167
109,35.44750000000017,25.44750000000017
110,35.50000000000017,25.50000000000017
111,35.55250000000017,25.552500000000173
112,35.605000000000175,25.605000000000175
113,35.65750000000017,25.65750000000017
114,35.71000000000018,25.71000000000018
115,35.76250000000017,24.762500000000173
116,35.815000000000175,24.815000000000175
117,35.86750000000018,24.867500000000177
118,35.92000000000018,25.92000000000018
119,35.97250000000018,28.97250000000018
120,36.02500000000018,28.025000000000183
121,36.077500000000185,28.077500000000185
122,36.13000000000019,29.130000000000187
123,36.18250000000019,28.18250000000019
124,36.23500000000019,28.23500000000019
125,36.28750000000019,28.287500000000193
126,36.340000000000195,28.340000000000195
127,36.3925000000002,28.392500000000197
128,36.4450000000002,28.4450000000002
129,36.4975000000002,28.4975000000002
130,36.5500000000002,28.550000000000203
131,36.602500000000205,28.602500000000205
132,36.65500000000021,28.655000000000207
133,36.70750000000021,29.70750000000021
134,36.760000000000204,28.760000000000204
135,36.81250000000021,28.812500000000213
136,36.86500000000021,28.865000000000208
137,36.91750000000021,29.91750000000021
138,36.97000000000021,29.970000000000212
139,37.022500000000214,30.022500000000214
140,37.075000000000216,30.075000000000216
141,37.12750000000022,30.127500000000218
142,-240.1999999999998,247.1999999999998
143,-241.9999999999998,248.9999999999998
144,-215.39999999999992,223.39999999999992
145,-216.99999999999991,224.99999999999991
146,-247.39999999999978,254.39999999999978
147,-249.1999999999998,256.1999999999998
148,-250.9999999999998,257.9999999999998
149,-252.79999999999976,259.7999999999997
150,-254.59999999999977,261.5999999999998
151,-256.3999999999998,263.3999999999998
152,-258.1999999999998,265.1999999999998
153,-259.99999999999983,266.99999999999983
154,-261.7999999999998,268.7999999999998
155,-263.5999999999998,270.5999999999998
156,-265.3999999999998,272.3999999999998
157,-267.1999999999998,274.1999999999998
158,-268.9999999999998,275.9999999999998
159,-239.3999999999999,247.3999999999999
160,-240.99999999999991,248.99999999999991
161,-242.5999999999999,250.5999999999999
162,-244.1999999999999,252.1999999999999
163,-245.79999999999993,253.79999999999993
164,-247.3999999999999,255.3999999999999
165,-248.99999999999991,256.9999999999999
166,-250.59999999999988,258.5999999999999
167,-252.1999999999999,260.19999999999993
168,-286.9999999999998,293.9999999999998
169,-288.7999999999998,295.7999999999998
170,-290.5999999999998,297.5999999999998
171,-326.1999999999998,332.1999999999998
172,-328.1999999999998,334.1999999999998
173,-364.39999999999986,369.39999999999986
174,-366.59999999999985,371.59999999999985
175,-368.7999999999999,373.7999999999999
176,-370.9999999999999,375.9999999999999
177,-373.1999999999999,378.1999999999999
178,-375.39999999999986,380.39999999999986
179,-377.59999999999985,382.59999999999985
180,-379.7999999999999,384.7999999999999
181,-381.9999999999999,386.9999999999999
182,-384.1999999999999,389.1999999999999
183,-367.89999999999975,372.89999999999975
184,-369.9999999999998,374.9999999999998
185,-372.09999999999974,377.09999999999974
186,-374.19999999999976,379.19999999999976
187,-376.2999999999998,381.2999999999998
188,-378.39999999999975,383.39999999999975
189,-343.2999999999999,349.2999999999999
190,-345.19999999999993,351.19999999999993
191,-347.0999999999999,353.0999999999999
192,-348.99999999999994,354.99999999999994
193,-350.8999999999999,356.8999999999999
194,-352.7999999999999,358.7999999999999
195,-354.69999999999993,360.69999999999993
196,-356.5999999999999,362.5999999999999
197,-358.49999999999994,364.49999999999994
198,-360.3999999999999,366.3999999999999
199,-401.4999999999997,406.4999999999997
200,-403.59999999999974,408.59999999999974
201,-405.69999999999976,410.69999999999976
202,-407.7999999999997,412.7999999999997
203,-409.89999999999975,414.89999999999975
204,-411.9999999999997,416.9999999999997
205,-414.09999999999974,419.09999999999974
206,-456.7999999999997,460.7999999999997
207,-459.0999999999997,463.0999999999997
