temp	date	heure
27.44	2018-12-07	15:09:49
28.13	2018-12-07	14:39:43
30.81	2018-12-07	14:09:37
36	2018-12-07	13:39:31
28.38	2018-12-07	13:09:24
28.13	2018-12-07	12:39:18
28	2018-12-07	12:09:12
29.13	2018-12-07	11:39:06
33.25	2018-12-07	11:08:59
27	2018-12-07	10:38:53
24.63	2018-12-07	10:08:47
22.13	2018-12-07	09:38:41
22.94	2018-12-07	09:08:35
23.13	2018-12-07	08:38:29
22.94	2018-12-07	08:08:23
23.19	2018-12-07	07:38:17
23	2018-12-07	07:08:11
23	2018-12-07	06:38:05
23.19	2018-12-07	06:07:59
23.5	2018-12-07	05:37:53
23.81	2018-12-07	05:07:46
23.75	2018-12-07	04:37:40
23.69	2018-12-07	04:07:34
23.81	2018-12-07	03:37:28
23.56	2018-12-07	03:07:22
23.63	2018-12-07	02:37:16
23.5	2018-12-07	02:07:10
23.44	2018-12-07	01:37:04
23.63	2018-12-07	01:06:58
23.38	2018-12-07	00:36:52
23.38	2018-12-07	00:06:46
23.19	2018-12-06	23:36:40
23.13	2018-12-06	23:06:34
23.19	2018-12-06	22:36:27
23.25	2018-12-06	22:06:21
23.31	2018-12-06	21:36:15
23.38	2018-12-06	21:06:09
23.38	2018-12-06	20:36:03
23.5	2018-12-06	20:05:57
23.63	2018-12-06	19:35:51
23.88	2018-12-06	19:05:45
24.19	2018-12-06	18:35:38
24.5	2018-12-06	18:05:32
24.88	2018-12-06	17:35:26
25.31	2018-12-06	17:05:20
25.63	2018-12-06	16:35:14
25.88	2018-12-06	16:05:07
26	2018-12-06	15:35:01
26.25	2018-12-06	15:04:55
26.63	2018-12-06	14:34:49
28.06	2018-12-06	14:04:43
28.19	2018-12-06	13:34:36
25.69	2018-12-06	13:04:30
25.63	2018-12-06	12:34:24
25.75	2018-12-06	12:04:18
27.94	2018-12-06	11:34:11
27.63	2018-12-06	11:04:05
24	2018-12-06	10:33:59
23.13	2018-12-06	10:03:53
22.56	2018-12-06	09:33:47
22.63	2018-12-06	09:03:41
22.56	2018-12-06	08:33:35
22.63	2018-12-06	08:03:29
22.56	2018-12-06	07:33:22
22.56	2018-12-06	07:03:16
22.56	2018-12-06	06:33:10
22.56	2018-12-06	06:03:04
22.63	2018-12-06	05:32:58
22.69	2018-12-06	05:02:52
22.69	2018-12-06	04:32:46
22.69	2018-12-06	04:02:40
22.75	2018-12-06	03:32:34
22.75	2018-12-06	03:02:28
22.81	2018-12-06	02:32:22
22.75	2018-12-06	02:02:16
22.81	2018-12-06	01:32:09
22.75	2018-12-06	01:02:03
22.75	2018-12-06	00:31:57
22.81	2018-12-06	00:01:51
22.81	2018-12-05	23:21:43
22.88	2018-12-05	22:51:37
22.88	2018-12-05	22:21:31
22.94	2018-12-05	21:51:25
23	2018-12-05	21:21:19
23	2018-12-05	20:51:13
23	2018-12-05	20:21:06
22.94	2018-12-05	19:51:00
23	2018-12-05	19:20:54
23	2018-12-05	18:50:48
23.44	2018-12-05	18:20:42
23.25	2018-12-05	17:50:36
23.38	2018-12-05	17:20:30
23.31	2018-12-05	16:50:23
23.38	2018-12-05	16:20:17
23.25	2018-12-05	15:50:11
23.13	2018-12-05	15:20:05
23.25	2018-12-05	14:49:58
23.25	2018-12-05	14:19:52
23.94	2018-12-05	13:49:46
22.88	2018-12-05	13:19:40
22.69	2018-12-05	12:49:34
22.69	2018-12-05	12:19:27
22.5	2018-12-05	11:49:21
23	2018-12-05	11:19:15
22.56	2018-12-05	10:49:09
22.38	2018-12-05	10:19:03
22.19	2018-12-05	09:48:56
22.13	2018-12-05	09:18:50
22.13	2018-12-05	08:48:44
22.06	2018-12-05	08:18:38
22.13	2018-12-05	07:48:32
22.13	2018-12-05	07:18:26
22.13	2018-12-05	06:48:20
22.19	2018-12-05	06:18:14
22.13	2018-12-05	05:48:08
22.25	2018-12-05	05:18:02
22.25	2018-12-05	04:47:56
22.25	2018-12-05	04:17:50
22.31	2018-12-05	03:47:44
22.31	2018-12-05	03:17:38
22.38	2018-12-05	02:47:32
22.38	2018-12-05	02:17:26
22.44	2018-12-05	01:47:20
22.44	2018-12-05	01:17:14
22.5	2018-12-05	00:47:07
22.5	2018-12-05	00:17:01
22.5	2018-12-04	23:46:55
22.56	2018-12-04	23:16:49
22.56	2018-12-04	22:46:43
22.56	2018-12-04	22:16:37
22.56	2018-12-04	21:46:31
22.63	2018-12-04	21:16:25
22.63	2018-12-04	20:46:19
22.63	2018-12-04	20:16:13
22.63	2018-12-04	19:46:07
22.69	2018-12-04	19:16:01
22.75	2018-12-04	18:45:54
22.81	2018-12-04	18:15:48
22.81	2018-12-04	17:45:42
22.88	2018-12-04	17:15:36
22.88	2018-12-04	16:45:30
22.75	2018-12-04	16:15:24
22.94	2018-12-04	15:25:13
22.75	2018-12-04	14:55:07
22.75	2018-12-04	14:25:01
22.94	2018-12-04	13:54:54
22.69	2018-12-04	13:24:48
22.54	2018-12-04	12:54:42
22.31	2018-12-04	12:24:36
22.44	2018-12-04	11:54:30
22.94	2018-12-04	11:24:23
22.56	2018-12-04	10:54:17
22.31	2018-12-04	10:24:11
22.19	2018-12-04	09:54:05
22.19	2018-12-04	09:23:59
22.25	2018-12-04	08:53:53
22.19	2018-12-04	08:23:47
22.19	2018-12-04	07:53:41
22.19	2018-12-04	07:23:35
22.25	2018-12-04	06:53:29
22.31	2018-12-04	06:23:23
22.38	2018-12-04	05:53:17
22.38	2018-12-04	05:23:11
22.44	2018-12-04	04:53:04
22.44	2018-12-04	04:22:58
22.5	2018-12-04	03:52:52
22.5	2018-12-04	03:22:46
22.56	2018-12-04	02:52:40
22.56	2018-12-04	02:22:34
22.63	2018-12-04	01:52:28
22.63	2018-12-04	01:22:22
22.69	2018-12-04	00:52:16
22.69	2018-12-04	00:22:10
22.69	2018-12-03	23:52:04
22.75	2018-12-03	23:21:58
22.75	2018-12-03	22:51:52
22.75	2018-12-03	22:21:46
22.81	2018-12-03	21:41:38
22.88	2018-12-03	21:11:31
22.88	2018-12-03	20:41:25
22.94	2018-12-03	20:11:19
22.94	2018-12-03	19:41:13
23	2018-12-03	19:11:07
23.06	2018-12-03	18:41:01
23.06	2018-12-03	18:10:55
23.13	2018-12-03	17:40:49
23.19	2018-12-03	17:10:42
23.13	2018-12-03	16:40:36
23.19	2018-12-03	16:10:30
23.13	2018-12-03	15:40:24
23.13	2018-12-03	15:10:18
23.13	2018-12-03	14:40:11
23.19	2018-12-03	14:10:05
23.38	2018-12-03	13:39:59
23	2018-12-03	13:09:53
22.88	2018-12-03	12:39:46
22.81	2018-12-03	12:09:40
22.94	2018-12-03	11:39:34
23.31	2018-12-03	11:09:28
22.94	2018-12-03	10:39:22
22.94	2018-12-03	10:09:16
22.75	2018-12-03	09:39:09
22.75	2018-12-03	09:09:03
22.75	2018-12-03	08:44:27
22.75	2018-12-03	08:18:53
22.69	2018-12-03	07:48:47
22.75	2018-12-03	07:18:41
22.81	2018-12-03	06:48:35
22.81	2018-12-03	06:18:29
22.88	2018-12-03	05:48:23
22.94	2018-12-03	05:18:17
22.94	2018-12-03	04:48:11
23	2018-12-03	04:18:05
